obs_idx,group_name,group_idx,country_name,country_idx,female,age,GROUP,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11P1,Q11P2,Q11P3,Q11P4,Q11P5,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29P1,Q29P2,Q29P3,Q29P4,Q29P5,Q29P6,Q29P7,Q29P8,Q30,Q31,Q32,Q33P1,Q33P2,Q33P3,Q33P4,Q33P5,Q34,Q35P1,Q35P2,Q35P3,Q35P4,Q35P5,Q35P6,Q36,Q37P1,Q37P2,Q37P3,Q37P4,Q37P5,Q37P6,Q37P7,Q37P8,Q37P9,Q37P10,Q37P11,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50P1,Q50P2,Q50P3,Q50P4,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66P1,Q66P2,Q66P3,Q66P4,Q66P5,Q67,Q68,Q69,Q70P1,Q70P2,Q70P3,Q71,Q72,Q73P1,Q73P2,Q73P3,Q73P4,Q73P5,Q74P1,Q74P2,Q74P3,Q74P4,Q75,Q76,Q77,Q78,Q79P1,Q79P2,Q79P3,Q79P4,Q79P5,Q79P6,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,supp_islam_mov,relg_awakening,pol_islam,pol_islam_binary,quran_freq,ref_relg_freq,personal_islam,sharia_sociolife,sharia_crim_civ,relg_study,social_islam,sep_relg_politics,priv_relg,opp_pol_relg,per_id,nation_id,pol_efficacy,pol_active,be_pol_active,polpart_shura,uni,student,unemployed,finan_satis,gov_ignore_ppl,offic_selfinterest,obey_lead,caliphate,over40,coop,west_values_corrupt,censor_west,west_reason_underdev,muslim_brotherhood,islamist,arab_nationalism,socialism,liberalism,income,us_me_policies,us_relation,arab_israel_sol,life_security,newspaper_freq,rev_sep_relg_politics,rev_priv_relg,pol_islam0,persocio_islam0,pol_act0,att_us0,critic_gov0,neg_west0
147,Egyptian,0,Egypt,0,0,30-39,EGYPT,MALE,SECONDARY SCHOOL,30-39,MARRIED,EMPLOYED,TEC PROFSSIONS,81100 301400 201300,E-QUOBBOH GARDENS,APARTMENT,NA,r2,r1,r4,r3,r5,YES,NO,NO,NO,AGREE,NO,DO NOT AGREE,YES,NO,DO NOT AGREE,YES,AGREE,NO,AGREE,DO NOT KNOW,AGREE,AGREE,r3,r4,r1,r5,r6,r2,r7,r8,STRONGLY AGREE,YES-IF INTP MOD NEED,ALWAYS,r2,r4,r3,r5,r1,4 AS STIPUL IN ISLAM,r3,r4,r1,r2,NA,NA,SOMETIMES,r4,r10,r3,r6,r9,r1,r11,r5,r7,r2,r8,UNCERTAIN,AGREE,DO NOT KNOW,NO,SOMEWHAT AGREE,ALWAYS,AGREE,DO NOT AGREE,DAILY,NA,NA,NA,NA,NA,NA,r1,NA,GETTING WORSE,STRONGLY AGREE,NO,MUSLIM BROTHERHOOD,YES,DO NOT AGREE,AGREE,AGREE,AGREE,AGREE,NA,PREFER STATUS QUO,ABOUT ONCE A MONTH,CONTRDICT ISLM TEACH,r1,r2,r4,r5,r3,NO,YES,DO NOT KNOW,JAMAL ABDUL NASSER,E-QUTB K-SH P-ASSAD,HASSAN EL-BANA,ABOUT THE SAME,NO,r2,r3,r4,r1,r5,r2,r1,r3,r4,DO NOT AGREE,INTERNATIONAL CONFER,ALWAYS,DO NOT KNOW,r6,r2,r3,r1,r4,r5,E-A/I K-C/S P-S/I,DO NOT AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,AGREE,NO,UNCERTAIN,E-PPS K-PPS P-PJR,NO,E-K-P DONOT READ MAG,DO NOT AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,LESS RELIGIOUS,NOT SATIS W FINAN ST,SOMEWHAT SECURE,NA,E-NSSE K-O/E P-ISMC,NA,1,2,1.5,0,3,4,3.5,2,1,4,2.3333333333333335,2,NA,2,muslim,arab world,0,0,0,NA,0,0,0,2,2,3,1,0,0,islamic unity,4,3,3,1,1,0,0,0,3,1,3,1,3,2,3,NA,2,2.8,1,2,2.5,3.3333333333333335
148,Egyptian,0,Egypt,0,0,20-29,EGYPT,MALE,PRIMARY SCHOOL,20-29,NEVER MARRIED,EMPLOYED,BUSINESS,EGPT 501&OVER,E-ZAMALEK K-ABDULSLM,APARTMENT,NA,r1,r2,r5,r3,r4,YES,NO,YES,YES,AGREE,NO,DO NOT AGREE,YES,NO,DO NOT AGREE,YES,DO NOT AGREE,NO,AGREE,AGREE,AGREE,AGREE,r3,r4,r2,r7,r5,r1,r4,r8,STRONGLY AGREE,STRONGLY AGREE,RARELY,r2,r3,r4,r5,r1,4 AS STIPUL IN ISLAM,r1,r4,r2,r3,r5,NA,SOMETIMES,r10,r1,r4,r5,r2,r6,r11,r9,r7,r3,r8,STRONGLY AGREE,AGREE,STRONGLY AGREE,SOMEWHAT,DO NOT KNOW,ALWAYS,AGREE,DO NOT AGREE,SOMETIMES,PARLM W POL PARTIES,YES,DO NOT AGREE,r3,r1,r4,r2,MEN RGHT DIV B-ISLAM,GETTING WORSE,STRONGLY AGREE,YES,MUSLIM BROTHERHOOD,YES,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,STRONGLY AGREE,CHANGE IN CUS&TRAD,SEVERAL TIMES A WEEK,CONTRDICT CUS&TRAD,r1,r2,r4,r5,r3,NO,YES,IN FAVOR OF,E-QUTB K-SH P-ASSAD,E-ZAGH K-GHAD P-SH,HASSAN EL-BANA,STRONGER,YES,r4,r5,r2,r1,r3,r1,r2,r3,r4,AGREE,INTERNATIONAL CONFER,SOMETIMES,YES,r6,r1,r5,r3,r2,r4,PLURAL COMPET US&WE,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,YES,STRONGLY AGREE,E-PPS K-PPS P-PJR,YES,E-RELG K-MUJT P-HRIA,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,VERY RELIGIOUS,NOT SATIS W FINAN ST,VERY INSECURE,NA,E-SDTE K-O/E P-PLO,NA,4,4,4,1,3,2,2.5,4,4,4,4,4,4,4,national,islamic world,0,1,1,0,0,0,0,2,4,3,0,0,0,islamic unity,4,1,1,1,1,0,0,0,10,3,3,1,1,4,1,1,2.5,3.4,3,3,3.5,2
149,Egyptian,0,Egypt,0,0,30-39,EGYPT,MALE,READ & WRITE,30-39,MARRIED,EMPLOYED,TEC PROFSSIONS,121140 501600 401500,E-QUOBBOH GARDENS,APARTMENT,25,r2,r1,r3,r4,r5,YES,YES,NO,YES,AGREE,YES,DO NOT AGREE,NO,YES,AGREE,NO,AGREE,NO,AGREE,AGREE,DO NOT AGREE,AGREE,r2,r6,r1,r5,r8,r3,r7,r4,SOMEWHAT AGREE,YES-IF INTP MOD NEED,ALWAYS,r2,r3,r4,r5,r1,1 AS STIPUL IN ISLAM,r2,r4,r1,r5,r3,NA,SOMETIMES,r7,r5,r6,r9,r1,r4,r11,r10,r3,r2,r8,STRONGLY AGREE,AGREE,DO NOT KNOW,NO,UNCERTAIN,ALWAYS,AGREE,AGREE,EVERY FRIDAY,PARLM W/O POL PARTIS,YES,DO NOT AGREE,r3,r1,r4,r2,WOM RGHT DIV B-ISLAM,GETTING WORSE,SOMEWHAT AGREE,YES,ARAB NATIONALISM,NO,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,SOMEWHAT AGREE,CHANGE IN RELG BELIF,DAILY,COMPAT ISLM TEACH,r3,r1,r2,r5,r4,NO,YES,AGAINST,JAMAL ABDUL NASSER,E-MUBK K-ARAF P-MUBK,E-SADT K-KHTB P-HAWT,STRONGER,SOMEWHAT,r3,r1,r4,r2,r5,r1,r3,r2,r4,AGREE,INTERNATIONAL CONFER,SOMETIMES,YES,r6,r1,r5,r4,r2,r3,PLURAL COMPET US&WE,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,YES,STRONGLY AGREE,E-PPS K-PPS P-PJR,YES,E-RELG K-MUJT P-HRIA,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,AGREE,VERY RELIGIOUS,FINAN WORSETHN MST,SOMEWHAT SECURE,NA,E-NSSE K-O/E P-ISMC,NA,3,1,2,0,3,4,3.5,2,4,3,3,4,3,3.5,muslim,islamic world,0,1,1,0,0,0,0,1,4,3,0,0,0,islamic unity,3,3,1,0,0,1,0,0,5,1,3,1,3,5,1,2,1.75,3.2,3,2,3.5,2.3333333333333335
150,Egyptian,0,Egypt,0,0,30-39,EGYPT,MALE,INTERMEDIATE SCHL,30-39,NEVER MARRIED,EMPLOYED,SERVICES&SOC WORK,6180 201300 101200,E-SYDA ZAINB K-RABYA,TRADITIONAL HOUSE,NA,r2,r1,r3,r4,r5,YES,YES,NO,YES,AGREE,NO,AGREE,YES,NO,DO NOT AGREE,YES,AGREE,YES,DO NOT AGREE,AGREE,DO NOT AGREE,AGREE,r3,r6,r1,r5,r7,r2,r8,r4,STRONGLY AGREE,YES-IF INTP MOD NEED,SOMETIMES,r2,r3,r4,r5,r1,4 AS STIPUL IN ISLAM,r3,r4,r1,r2,r5,NA,ALWAYS,r9,r6,r4,r5,r7,r1,r11,r10,r3,r2,r8,UNCERTAIN,AGREE,STRONGLY AGREE,NO,STRONGLY AGREE,ALWAYS,AGREE,DO NOT AGREE,DAILY,PARLM W POL PARTIES,YES,DO NOT AGREE,r3,r1,r4,r2,MEN RGHT DIV B-ISLAM,GETTING WORSE,STRONGLY AGREE,YES,E SHARIAH K-P DNKNOW,YES,AGREE,AGREE,AGREE,AGREE,AGREE,SOMEWHAT AGREE,CHANGE IN RELG BELIF,DAILY,CONTRDICT ISLM TEACH,r1,r3,r4,r5,r2,NO,YES,IN FAVOR OF,KING FAHAD AL-SAUD,JAMAL ABDUL NASSER,E-MUBK K-ARAF P-MUBK,ABOUT THE SAME,SOMEWHAT,r1,r5,r3,r2,r4,r1,r3,r2,r4,AGREE,INTERNATIONAL CONFER,ALWAYS,YES,r2,r6,r3,r1,r5,r4,ISLAMIC SHARIAH,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,AGREE,PARTLY YES,SOMEWHAT AGREE,E-PPS K-PPS P-PJR,YES,E-MUSR K-NAHD P-FTHR,AGREE,AGREE,AGREE,AGREE,AGREE,VERY RELIGIOUS,NOT SATIS W FINAN ST,SOMEWHAT SECURE,NA,E-NSSE K-O/E P-ISMC,NA,3,4,3.5,1,4,3,3.5,2,4,4,3.3333333333333335,2,3,2.5,muslim,islamic world,0,1,1,0,0,0,0,2,3,1,1,1,0,islamic unity,4,3,3,0,0,0,0,0,2,1,1,1,3,5,3,2,3,3.4,3,1,2,3.3333333333333335
151,Egyptian,0,Egypt,0,0,20-29,EGYPT,MALE,SECONDARY SCHOOL,20-29,NEVER MARRIED,UNEMPLOYED,NA,60&LES 200&LS 100&LS,E-SYDA ZAINB K-RABYA,APARTMENT,7,r3,r1,r2,r4,r5,YES,YES,YES,YES,AGREE,YES,AGREE,YES,YES,AGREE,YES,AGREE,NO,AGREE,DO NOT AGREE,AGREE,DO NOT AGREE,r2,r6,r1,r8,r7,r3,r4,r5,SOMEWHAT AGREE,SOMEWHAT AGREE,SOMETIMES,r2,r3,r4,r5,r1,SEPAR RIGHT FR WOMEN,r3,r4,r1,r2,r5,NA,SOMETIMES,r9,r11,r4,r5,r8,r3,r7,r6,r10,r2,r1,SOMEWHAT AGREE,AGREE,SOMEWHAT AGREE,SOMEWHAT,SOMEWHAT AGREE,ALWAYS,AGREE,AGREE,EVERY FRIDAY,MAJLES SHURA,YES,DO NOT AGREE,r4,r1,r3,r2,WOM RGHT DIV B-ISLAM,SOMEWHAT BETTER,SOMEWHAT AGREE,NO,ARAB NATIONALISM,NO,AGREE,AGREE,AGREE,AGREE,AGREE,SOMEWHAT AGREE,PREFER STATUS QUO,DAILY,CONTRDICT CUS&TRAD,r2,r1,r3,r4,r5,YES,YES,IN FAVOR OF,JAMAL ABDUL NASSER,HASSAN EL-BANA,E-SADT K-KHTB P-HAWT,LES THAN PREVOUS YRS,SOMEWHAT,r2,r5,r3,r1,r4,r1,r2,r3,r4,DO NOT AGREE,INTERNATIONAL CONFER,SOMETIMES,NO,r3,r4,r1,r2,r5,r6,ISLAMIC SHARIAH,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTLY YES,SOMEWHAT AGREE,E-PPS K-PPS P-PJR,NO,E-K-P DONOT READ MAG,DO NOT AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,LESS RELIGIOUS,NOT SATIS W FINAN ST,SOMEWHAT INSECURE,NA,NA,NA,3,4,3.5,1,3,3,3,3,4,3,3.3333333333333335,3,3,3,muslim,islamic world,1,1,0,1,0,0,1,2,3,3,1,0,0,islamic unity,3,3,3,0,0,1,0,0,1,3,3,1,2,5,2,2,2.75,3.2,2,3,3,3
152,Egyptian,0,Egypt,0,1,40 & OVER,EGYPT,FEMALE,UNIVERSITY DEG&GRAD,40 & OVER,MARRIED,EMPLOYED,SERVICES&SOC WORK,EGPT 401-500,E-ELGAMLYA K-RUMTHYA,APARTMENT,7,r3,r2,r1,r4,r5,NO,YES,NO,YES,AGREE,YES,DO NOT KNOW,NO,YES,AGREE,NO,AGREE,DO NOT KNOW,DO NOT KNOW,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,r3,r4,r1,r6,r8,r2,r7,r5,STRONGLY AGREE,YES-IF INTP MOD NEED,ALWAYS,r2,r3,r4,r5,r1,SEPAR RIGHT FR WOMEN,r3,r5,r1,r2,r4,NA,ALWAYS,r9,r7,r11,r1,r5,r6,r10,r2,r3,r4,r8,SOMEWHAT AGREE,AGREE,SOMEWHAT AGREE,SOMEWHAT,SOMEWHAT AGREE,ALWAYS,AGREE,AGREE,SOMETIMES,TRUE PARTICIPATION,YES,DO NOT AGREE,r3,r1,r4,r2,WOM RGHT DIV B-ISLAM,SOMEWHAT WORSE,SOMEWHAT AGREE,YES,ARAB NATIONALISM,NO,AGREE,AGREE,AGREE,AGREE,AGREE,SOMEWHAT AGREE,PREFER STATUS QUO,DAILY,CONTRDICT ISLM TEACH,r2,r1,r3,r4,r5,YES,YES,AGAINST,E-MUBK K-ARAF P-MUBK,E&P ARAFAT K-ASAB,E-MKAM K-SSAB P-HABS,LES THAN PREVOUS YRS,SOMEWHAT,r5,r2,r4,r1,r3,r3,r4,r2,r1,AGREE,INTERNATIONAL CONFER,ALWAYS,YES,r6,r1,r4,r5,r3,r2,E-A/I K-C/S P-S/I,AGREE,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,NO,DO NOT AGREE,E-PPS K-PPS P-PJR,NO,E-MUSR K-NAHD P-FTHR,AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,VERY SECURE,NA,K-O/E P-DEMOC PLO,NA,3,1,2,0,4,4,4,2,4,4,3.3333333333333335,3,3,3,familial|tribal|local,islamic world,1,0,0,0,1,0,0,3,1,1,1,0,1,islamic unity,3,3,3,0,0,1,0,0,10,3,2,1,4,5,2,2,2,3.6,1,2.5,1,3
153,Egyptian,0,Egypt,0,1,40 & OVER,EGYPT,FEMALE,POST SECONDARY SCHL,40 & OVER,MARRIED,EMPLOYED,TEACHING&RELATE PROF,181200 801900 701800,E-ELWAYLI ALKABEER,APARTMENT,NA,r1,NA,NA,NA,NA,NO,YES,NA,NO,AGREE,NO,AGREE,YES,NO,DO NOT AGREE,YES,AGREE,YES,AGREE,AGREE,AGREE,AGREE,r2,r6,r3,r7,r5,r1,r8,r4,STRONGLY AGREE,STRONGLY AGREE,ALWAYS,r2,r3,r4,r5,r1,1 AS STIPUL IN ISLAM,r3,r4,r1,r2,NA,NA,ALWAYS,r5,r9,r8,r4,r6,r3,r2,r1,r7,r10,r11,DO NOT AGREE,AGREE,STRONGLY AGREE,NO,STRONGLY AGREE,ALWAYS,AGREE,DO NOT AGREE,SOMETIMES,PARLM W/O POL PARTIS,YES,DO NOT AGREE,r3,r1,r4,r2,BOTH RGHT DIVORCE,GETTING WORSE,STRONGLY AGREE,YES,MUSLIM BROTHERHOOD,NO,AGREE,AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,NA,DAILY,CONTRDICT ISLM TEACH,r1,NA,NA,NA,NA,YES,YES,IN FAVOR OF,JAMAL ABDUL NASSER,E-QUTB K-SH P-ASSAD,E-MUBK K-ARAF P-MUBK,LES THAN PREVOUS YRS,NO,NA,NA,NA,r1,NA,r1,NA,NA,NA,DO NOT AGREE,INTERNATIONAL CONFER,ALWAYS,YES,r5,r6,r4,r1,r2,r3,ISLAMIC SHARIAH,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,DO NOT KNOW,PARTLY YES,SOMEWHAT AGREE,E-PPS K-PPS P-PJR,YES,E-RELG K-MUJT P-HRIA,AGREE,AGREE,AGREE,AGREE,AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,SOMEWHAT SECURE,NA,NA,NA,1,4,2.5,0,4,4,4,4,1,4,3,1,1,1,national,islamic world,0,1,1,0,0,0,0,3,3,3,0,1,1,islamic unity,4,3,3,1,1,0,0,0,8,1,3,1,3,5,4,4,3.25,3.4,3,2,3,3.3333333333333335
154,Egyptian,0,Egypt,0,0,30-39,EGYPT,MALE,UNIVERSITY DEG&GRAD,30-39,MARRIED,EMPLOYED,HI GRAD TEC&ADM PROF,141160 601700 501600,E-BAB ELKHALQ,APARTMENT,60,r2,r1,r3,r5,r4,NO,YES,NO,YES,AGREE,YES,DO NOT AGREE,YES,YES,DO NOT AGREE,NO,AGREE,YES,AGREE,DO NOT AGREE,AGREE,AGREE,r4,r5,r1,r8,r6,r3,r7,r2,SOMEWHAT AGREE,YES-IF INTP MOD NEED,SOMETIMES,r3,r2,r4,r5,r1,SEPAR RIGHT FR WOMEN,r3,r4,r1,r2,r5,NA,ALWAYS,r5,r7,r11,r1,r8,r9,r10,r2,r4,r3,r6,SOMEWHAT AGREE,AGREE,SOMEWHAT AGREE,SOMEWHAT,SOMEWHAT AGREE,ALWAYS,AGREE,AGREE,DAILY,PARLM W POL PARTIES,YES,AGREE,r3,r1,r4,r2,WOMEN RGHT DIVORCE,SOMEWHAT BETTER,SOMEWHAT AGREE,YES,LIBERALISM,NO,AGREE,AGREE,AGREE,AGREE,AGREE,SOMEWHAT AGREE,PREFER STATUS QUO,DAILY,COMPAT ISLM TEACH,r2,r1,r3,r4,r5,YES,YES,IN FAVOR OF,KING FAHAD AL-SAUD,JAMAL ABDUL NASSER,E-MUBK K-ARAF P-MUBK,ABOUT THE SAME,YES,r3,r5,r4,r1,r2,r1,NA,NA,NA,DO NOT AGREE,INTERNATIONAL CONFER,ALWAYS,YES,r4,r1,r2,r3,r5,r6,ISLAMIC SHARIAH,DO NOT AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,AGREE,PARTLY YES,SOMEWHAT AGREE,E-PPS K-PPS P-PJR,NO,E-RELG K-MUJT P-HRIA,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,LESS RELIGIOUS,FINAN WORSETHN MST,SOMEWHAT SECURE,NA,NA,NA,4,4,4,1,4,3,3.5,2,4,3,3,3,3,3,muslim,islamic world,1,1,0,0,1,0,0,1,3,3,1,1,0,islamic unity,3,3,1,0,0,0,0,1,6,3,3,1,3,5,2,2,3,3.2,2,3,3,2.3333333333333335
155,Egyptian,0,Egypt,0,0,40 & OVER,EGYPT,MALE,INTERMEDIATE SCHL,40 & OVER,MARRIED,EMPLOYED,TEC PROFSSIONS,EGPT 301-400,E-ELWAYLI ALKABEER,APARTMENT,NA,r2,r1,r4,r3,r5,YES,YES,NO,YES,AGREE,NO,AGREE,YES,NO,DO NOT AGREE,YES,AGREE,YES,AGREE,DO NOT AGREE,AGREE,AGREE,r4,r7,r1,r8,r5,r3,r6,r2,STRONGLY AGREE,STRONGLY AGREE,ALWAYS,r2,r3,r4,r5,r1,4 AS STIPUL IN ISLAM,r1,r4,r2,r3,r5,NA,ALWAYS,r9,r10,r8,r7,r11,r1,r3,r2,r6,r5,r4,DO NOT AGREE,AGREE,STRONGLY AGREE,NO,STRONGLY AGREE,ALWAYS,AGREE,DO NOT AGREE,EVERY FRIDAY,PARLM W/O POL PARTIS,YES,DO NOT AGREE,r3,r1,r4,r2,NA,GETTING WORSE,STRONGLY AGREE,NO,MUSLIM BROTHERHOOD,NO,AGREE,AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,NA,DAILY,CONTRDICT ISLM TEACH,r1,r2,r3,r5,r4,NO,YES,IN FAVOR OF,HASSAN EL-BANA,NA,NA,VERY LOW,NA,NA,NA,NA,r1,NA,r1,r2,r3,r4,DO NOT AGREE,MILITARY MEANS,ALWAYS,YES,r5,r6,r4,r1,r2,r3,ISLAMIC SHARIAH,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,DO NOT KNOW,PARTLY YES,STRONGLY AGREE,E-PPS K-PPS P-PJR,YES,E-RELG K-MUJT P-HRIA,AGREE,AGREE,AGREE,AGREE,AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,SOMEWHAT SECURE,NA,NA,NA,NA,4,4,1,4,4,4,4,4,4,4,1,1,1,muslim,islamic world,1,1,1,0,0,0,0,3,4,3,0,1,1,islamic unity,4,3,3,1,1,0,0,0,9,1,3,0,3,5,4,4,4,4,3,2,3.5,3.3333333333333335
156,Egyptian,0,Egypt,0,0,30-39,EGYPT,MALE,SECONDARY SCHOOL,30-39,MARRIED,EMPLOYED,TEC PROFSSIONS,181200 801900 701800,E-BOULAK K-REQA,APARTMENT,25,r2,r1,r4,r3,r5,YES,YES,NO,YES,AGREE,NO,AGREE,NO,NO,DO NOT AGREE,YES,AGREE,YES,AGREE,AGREE,DO NOT AGREE,AGREE,r2,r3,r1,r4,r6,r5,r8,r7,SOMEWHAT AGREE,SOMEWHAT AGREE,SOMETIMES,r2,r3,r5,r4,r1,4 AS STIPUL IN ISLAM,r2,r4,r1,r3,NA,NA,SOMETIMES,r11,r2,r9,r1,r3,r8,r10,r4,r5,r7,r6,STRONGLY AGREE,AGREE,STRONGLY AGREE,SOMEWHAT,STRONGLY AGREE,SOMETIMES,AGREE,DO NOT AGREE,EVERY FRIDAY,PARLM W/O POL PARTIS,YES,DO NOT AGREE,r4,r1,r3,r2,MEN RGHT DIV B-ISLAM,GETTING WORSE,SOMEWHAT AGREE,NO,ARAB NATIONALISM,YES,AGREE,AGREE,AGREE,AGREE,AGREE,SOMEWHAT AGREE,PREFER STATUS QUO,DAILY,CONTRDICT ISLM TEACH,r1,r2,r4,r5,r3,YES,YES,IN FAVOR OF,E-ALI K-MSAB P-JSAB,JAMAL ABDUL NASSER,E-QUTB K-SH P-ASSAD,ABOUT THE SAME,SOMEWHAT,r2,r4,r3,r1,r5,r2,r1,r3,NA,AGREE,INTERNATIONAL CONFER,SOMETIMES,NO,r3,r1,r2,r4,r5,r6,ARAB-SOCIALISM(NATI),DO NOT AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,AGREE,PARTLY YES,STRONGLY AGREE,E-PPS K-PPS P-PJR,NO,E-K-P DONOT READ MAG,DO NOT AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,VERY SECURE,NA,NA,NA,3,4,3.5,1,3,3,3,3,4,3,3.3333333333333335,4,3,3.5,muslim,islamic world,0,1,0,0,0,0,0,3,4,1,1,1,0,islamic unity,3,3,3,0,0,1,0,0,8,3,3,1,4,5,1,2,2.5,3.2,2,3,2.5,3
157,Egyptian,0,Egypt,0,1,30-39,EGYPT,FEMALE,UNIVERSITY DEG&GRAD,30-39,MARRIED,EMPLOYED,NURSING,141160 601700 501600,E-BOULAK K-REQA,APARTMENT,10,r3,r1,r4,r2,r5,NO,DO NOT KNOW,NO,YES,AGREE,YES,DO NOT AGREE,YES,YES,DO NOT KNOW,NO,AGREE,YES,DO NOT KNOW,AGREE,DO NOT KNOW,DO NOT AGREE,r1,r3,r2,r5,r4,r6,r8,r7,UNCERTAIN,SOMEWHAT AGREE,SOMETIMES,r1,r3,r5,r4,r2,4 AS STIPUL IN ISLAM,r5,r3,r1,r2,r4,NA,SOMETIMES,r10,r11,r3,r1,r4,r2,r6,r7,r8,r9,r5,SOMEWHAT AGREE,DO NOT AGREE,SOMEWHAT AGREE,NO,STRONGLY AGREE,ALWAYS,DO NOT AGREE,AGREE,NEVER,PARLM W POL PARTIES,YES,DO NOT AGREE,r4,r2,r3,r1,WOM RGHT DIV B-ISLAM,SOMEWHAT BETTER,SOMEWHAT AGREE,YES,E DEM K-P SHARIAH,NO,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,SOMEWHAT AGREE,CHANGE IN CUS&TRAD,SEVERAL TIMES A WEEK,COMPAT ISLM TEACH,r1,r2,r4,r5,r3,NO,YES,DO NOT KNOW,JAMAL ABDUL NASSER,E-MUBK K-ARAF P-MUBK,E-MKAM K-SSAB P-HABS,VERY LOW,NO,r2,r5,r3,r1,r4,r2,r1,r3,NA,DO NOT KNOW,MILITARY MEANS,ALWAYS,DO NOT KNOW,r1,r2,r4,r3,r6,r5,ARAB-SOCIALISM(NATI),AGREE,DO NOT KNOW,DO NOT KNOW,AGREE,DO NOT AGREE,DO NOT AGREE,YES,SOMEWHAT AGREE,E-PIMP K-PSE P-PJT,YES,E-AHAL K-TALI P-SKRA,DO NOT AGREE,AGREE,DO NOT KNOW,AGREE,DO NOT AGREE,LESS RELIGIOUS,NOT SATIS W FINAN ST,SOMEWHAT SECURE,NA,E-NSSE K-O/E P-ISMC,NA,1,2,1.5,0,3,3,3,3,4,2,3,3,3,3,muslim,arab world,0,1,1,0,1,0,0,2,3,3,0,1,0,arab unity,3,3,3,0,0,0,0,0,6,1,2,0,3,4,2,2,1.75,3,3,1.5,3,3
